first,last,name,id
0x31F0,0x31FF,Katakana Phonetic Extensions,katakana_phonetic_extensions
0x3200,0x32FF,Enclosed CJK Letters and Months,enclosed_cjk_letters_and_months
0x3300,0x33FF,CJK Compatibility,cjk_compatibility
0x3400,0x4DBF,CJK Unified Ideographs Extension A,cjk_unified_ideographs_extension_a
0x4DC0,0x4DFF,Yijing Hexagram Symbols,yijing_hexagram_symbols
0x4E00,0x9FFF,CJK Unified Ideographs,cjk_unified_ideographs
0xA000,0xA48F,Yi Syllables,yi_syllables
0xA490,0xA4CF,Yi Radicals,yi_radicals
0xA4D0,0xA4FF,Lisu,lisu
0xA500,0xA63F,Vai,vai
0xA640,0xA69F,Cyrillic Extended-B,cyrillic_extended_b
0xA6A0,0xA6FF,Bamum,bamum
0xA700,0xA71F,Modifier Tone Letters,modifier_tone_letters
0xA720,0xA7FF,Latin Extended-D,latin_extended_d
0xA800,0xA82F,Syloti Nagri,syloti_nagri
0xA830,0xA83F,Common Indic Number Forms,common_indic_number_forms
0xA840,0xA87F,Phags-pa,phags_pa
0xA880,0xA8DF,Saurashtra,saurashtra
0xA8E0,0xA8FF,Devanagari Extended,devanagari_extended
0xA900,0xA92F,Kayah Li,kayah_li
0xA930,0xA95F,Rejang,rejang
0xA960,0xA97F,Hangul Jamo Extended-A,hangul_jamo_extended_a
0xA980,0xA9DF,Javanese,javanese
0xA9E0,0xA9FF,Myanmar Extended-B,myanmar_extended_b
0xAA00,0xAA5F,Cham,cham
0xAA60,0xAA7F,Myanmar Extended-A,myanmar_extended_a
0xAA80,0xAADF,Tai Viet,tai_viet
0xAAE0,0xAAFF,Meetei Mayek Extensions,meetei_mayek_extensions
0xAB00,0xAB2F,Ethiopic Extended-A,ethiopic_extended_a
0xAB30,0xAB6F,Latin Extended-E,latin_extended_e
0xAB70,0xABBF,Cherokee Supplement,cherokee_supplement
0xABC0,0xABFF,Meetei Mayek,meetei_mayek
0xAC00,0xD7AF,Hangul Syllables,hangul_syllables
0xD7B0,0xD7FF,Hangul Jamo Extended-B,hangul_jamo_extended_b
0xD800,0xDB7F,High Surrogates,high_surrogates
0xDB80,0xDBFF,High Private Use Surrogates,high_private_use_surrogates
0xDC00,0xDFFF,Low Surrogates,low_surrogates
